USN,Department,Year,Skills_Already_Know,Proficiency_Already_Know,Skills_Currently_Learning,Proficiency_Currently_Learning,Skills_Want_To_Learn,Proficiency_Want_To_Learn,Total_Skills
1KG23ME075,Mechanical,3,Thermodynamics; Finite Element Analysis; MATLAB; Manufacturing; SolidWorks; Project Management,5; 4; 3; 3; 5; 5,AutoCAD; Python,2; 3,Statistics; Java,0; 1,10
1KG23ME076,Mechanical,4,MATLAB; 3D Design; SolidWorks,3; 3; 5,AutoCAD; Finite Element Analysis; Project Management,1; 2; 2,Git; Python; Engine Systems; TensorFlow,1; 0; 2; 1,10
1KG23ME077,Mechanical,1,SolidWorks; Manufacturing; Thermodynamics; AutoCAD,3; 5; 4; 5,3D Design; Project Management; Finite Element Analysis,3; 2; 3,SQL; Git; Pandas,0; 0; 0,10
1KG23ME078,Mechanical,2,Project Management; 3D Design; Thermodynamics; AutoCAD; Python; Manufacturing,4; 3; 5; 4; 5; 5,SolidWorks; MATLAB,2; 2,Data Visualization; Concrete Design; HTML; Pandas,1; 1; 2; 2,12
1KG23ME079,Mechanical,3,Finite Element Analysis; AutoCAD; 3D Design; SolidWorks; Manufacturing,4; 3; 4; 5; 5,Python; Thermodynamics,2; 2,Pandas; TensorFlow,2; 1,9
1KG23ME080,Mechanical,4,SolidWorks; AutoCAD; 3D Design; Project Management; Thermodynamics; Finite Element Analysis; Manufacturing,4; 5; 3; 4; 3; 3; 4,MATLAB; Python,1; 2,Powertrain; Structural Analysis; Docker,0; 2; 0,12
1KG23ME081,Mechanical,1,3D Design; SolidWorks; Python,4; 5; 5,Project Management; Finite Element Analysis; MATLAB; AutoCAD,1; 1; 3; 2,Surveying; Organic Chemistry; Vehicle Dynamics,0; 0; 0,10
1KG23ME082,Mechanical,2,Project Management; Finite Element Analysis; SolidWorks; 3D Design,3; 3; 3; 3,Manufacturing; MATLAB; AutoCAD,2; 1; 2,CSS; Excel; Deep Learning; Thermodynamics,0; 2; 0; 0,11
1KG23ME083,Mechanical,3,SolidWorks; 3D Design; Finite Element Analysis,3; 4; 5,Thermodynamics; MATLAB,2; 2,Manufacturing; Machine Learning,0; 2,7
1KG23ME084,Mechanical,4,AutoCAD; Manufacturing; Finite Element Analysis; SolidWorks; 3D Design; Thermodynamics,5; 3; 3; 5; 4; 3,Python; Project Management,3; 2,Process Control; CSS; Databases,2; 2; 0,11
1KG23ME085,Mechanical,1,Project Management; AutoCAD; 3D Design,3; 5; 3,Finite Element Analysis; Thermodynamics; Manufacturing; SolidWorks,3; 3; 1; 2,Machine Learning; React; TensorFlow; Revit,1; 0; 2; 0,11
1KG23ME086,Mechanical,2,Manufacturing; Thermodynamics; SolidWorks; AutoCAD; Python; Finite Element Analysis,4; 3; 4; 4; 4; 5,3D Design; MATLAB; Project Management,3; 2; 2,Soil Mechanics; Structural Analysis; Data Visualization,2; 1; 0,12
1KG23ME087,Mechanical,3,Python; Finite Element Analysis; Manufacturing,3; 3; 4,MATLAB; SolidWorks; Thermodynamics,3; 1; 1,Deep Learning; Excel; Git,1; 0; 0,9
1KG23ME088,Mechanical,4,Finite Element Analysis; Manufacturing; SolidWorks; Project Management; Thermodynamics; 3D Design,4; 5; 4; 3; 4; 3,AutoCAD; MATLAB,2; 1,SQL; Separation Processes; Machine Learning; Engine Systems,0; 1; 2; 0,12
1KG23ME089,Mechanical,1,3D Design; Manufacturing; Thermodynamics,3; 5; 5,AutoCAD; Python; Project Management,3; 2; 2,Automotive Design; CSS; HTML; Separation Processes,0; 1; 0; 1,10
1KG23ME090,Mechanical,2,Manufacturing; Thermodynamics; SolidWorks; 3D Design; AutoCAD,4; 4; 3; 4; 5,MATLAB; Python; Finite Element Analysis,3; 3; 3,Git; Surveying; CAD; Project Management,2; 0; 1; 1,12
1KG23ME091,Mechanical,3,Thermodynamics; Manufacturing; SolidWorks; 3D Design; Finite Element Analysis,4; 5; 5; 3; 5,MATLAB; Python; AutoCAD,2; 2; 2,Engine Systems; Databases; HTML,2; 0; 2,11
1KG23ME092,Mechanical,4,AutoCAD; Thermodynamics,5; 4,3D Design; SolidWorks,2; 3,Java; Automotive Design; Separation Processes; Web Development,2; 0; 1; 1,8
1KG23ME093,Mechanical,1,Manufacturing; SolidWorks; 3D Design; Thermodynamics; AutoCAD; Finite Element Analysis,4; 4; 3; 4; 5; 3,Python; Project Management; MATLAB,1; 2; 3,Databases; AI; Machine Learning,2; 1; 1,12
1KG23ME094,Mechanical,2,Finite Element Analysis; 3D Design,4; 3,MATLAB; Project Management; AutoCAD; SolidWorks,2; 3; 3; 2,Organic Chemistry; Revit,1; 2,8
1KG23ME095,Mechanical,3,Manufacturing; 3D Design; Thermodynamics; SolidWorks; AutoCAD; Finite Element Analysis,5; 5; 5; 3; 5; 3,Project Management; Python; MATLAB,1; 3; 3,PyTorch; Web Development; Excel,0; 2; 0,12
1KG23ME096,Mechanical,4,Manufacturing; SolidWorks; AutoCAD; Finite Element Analysis; Thermodynamics,3; 4; 4; 4; 5,MATLAB; 3D Design; Python,1; 1; 2,Separation Processes; C++,1; 2,10
1KG23ME097,Mechanical,1,Finite Element Analysis; Thermodynamics; AutoCAD; 3D Design; SolidWorks; Manufacturing,4; 5; 3; 3; 3; 5,MATLAB; Python; Project Management,2; 1; 1,GIS; Excel; TensorFlow; Organic Chemistry,2; 2; 0; 1,13
1KG23ME098,Mechanical,2,SolidWorks; Finite Element Analysis; AutoCAD,4; 4; 5,3D Design; Manufacturing,2; 3,HTML; Data Visualization,1; 1,7
1KG23ME099,Mechanical,3,Thermodynamics; Finite Element Analysis; SolidWorks,3; 5; 5,MATLAB; Python,3; 3,Databases; 3D Design,1; 1,7
1KG23ME100,Mechanical,4,Finite Element Analysis; SolidWorks; AutoCAD; Manufacturing,3; 3; 4; 3,3D Design; Project Management,3; 2,Scikit-learn; AI,1; 1,8
1KG23CV001,Civil,1,Excel; Surveying; Concrete Design; AutoCAD; Revit; Structural Analysis,3; 5; 5; 3; 5; 4,Soil Mechanics; Project Management; GIS,1; 3; 2,Pandas; MATLAB; SQL,0; 0; 2,12
1KG23CV002,Civil,2,Concrete Design; Structural Analysis; Surveying,4; 3; 5,Project Management; Soil Mechanics; Excel; GIS,2; 2; 1; 2,Powertrain; Databases; Separation Processes,0; 2; 2,10
1KG23CV003,Civil,3,Project Management; Revit; AutoCAD; Surveying; Concrete Design; Structural Analysis; Soil Mechanics,3; 3; 4; 3; 5; 3; 3,Excel; GIS,3; 2,Databases; SolidWorks,0; 1,11
1KG23CV004,Civil,4,AutoCAD; Soil Mechanics; Structural Analysis; Concrete Design,4; 5; 5; 3,Surveying; Excel; GIS,1; 2; 2,PyTorch; Databases,1; 2,9
1KG23CV005,Civil,1,Soil Mechanics; Revit; AutoCAD; Concrete Design; Project Management; Structural Analysis; Excel,5; 3; 3; 4; 3; 4; 4,GIS; Surveying,2; 3,Reaction Engineering; Thermodynamics; Web Development; Organic Chemistry,0; 2; 0; 2,13
1KG23CV006,Civil,2,Project Management; Revit; Excel; Concrete Design; Surveying,3; 4; 3; 4; 3,AutoCAD; GIS,3; 2,Scikit-learn; Databases; Docker,1; 1; 0,10
1KG23CV007,Civil,3,Surveying; Revit; Excel; GIS; Concrete Design; Soil Mechanics,3; 3; 4; 4; 3; 5,Structural Analysis; AutoCAD; Project Management,1; 2; 2,Git; Docker; Data Visualization; SQL,2; 0; 0; 1,13
1KG23CV008,Civil,4,Surveying; Revit,5; 5,Structural Analysis; AutoCAD; Soil Mechanics,1; 3; 1,3D Design; Project Management; Java; AI,0; 1; 2; 0,9
1KG23CV009,Civil,1,Soil Mechanics; Revit; Surveying; AutoCAD,3; 3; 4; 5,Concrete Design; Structural Analysis; Project Management; Excel,3; 3; 1; 2,Statistics; Thermodynamics,2; 2,10
1KG23CV010,Civil,2,AutoCAD; Soil Mechanics; GIS; Surveying; Concrete Design; Structural Analysis; Revit,4; 3; 3; 4; 3; 3; 3,Project Management; Excel,2; 3,React; SQL; Thermodynamics; Docker,1; 2; 1; 2,13
1KG23CV011,Civil,3,Revit; Surveying; Concrete Design; AutoCAD; Structural Analysis; Soil Mechanics,3; 4; 4; 5; 3; 4,GIS; Excel; Project Management,3; 2; 2,Databases; React; Docker; Powertrain,2; 2; 2; 0,13
1KG23CV012,Civil,4,Concrete Design; Revit; AutoCAD; Soil Mechanics,3; 5; 4; 4,GIS; Structural Analysis; Excel; Project Management,3; 2; 2; 1,Git; Scikit-learn; Java,1; 2; 0,11
1KG23CV013,Civil,1,AutoCAD; Soil Mechanics; Revit; Surveying; Concrete Design; Structural Analysis,5; 4; 5; 4; 4; 3,Excel; Project Management,3; 3,Finite Element Analysis; PyTorch; Powertrain,0; 0; 1,11
1KG23CV014,Civil,2,AutoCAD; Revit; Excel,5; 5; 5,Concrete Design; Project Management; Structural Analysis; Soil Mechanics,3; 3; 3; 2,MATLAB; GIS; Node.js,0; 0; 0,10
1KG23CV015,Civil,3,Concrete Design; AutoCAD; GIS; Revit,3; 4; 4; 3,Structural Analysis; Surveying; Soil Mechanics,1; 1; 3,PyTorch; Data Visualization; Python; Separation Processes,1; 2; 0; 0,11
1KG23CV016,Civil,4,Structural Analysis; AutoCAD; Concrete Design; Revit,5; 5; 5; 5,Project Management; GIS; Surveying; Soil Mechanics,2; 3; 3; 3,CSS; Databases; AI; 3D Design,0; 1; 2; 1,12
1KG23CV017,Civil,1,GIS; Surveying; Soil Mechanics; AutoCAD; Structural Analysis; Revit; Concrete Design,5; 3; 4; 4; 4; 3; 5,Project Management; Excel,1; 2,Reaction Engineering; PyTorch; Organic Chemistry; CSS,0; 2; 0; 1,13
1KG23CV018,Civil,2,Concrete Design; Soil Mechanics,3; 5,GIS; Excel; Structural Analysis,2; 1; 1,AI; Separation Processes; TensorFlow; C++,1; 2; 0; 0,9
1KG23CV019,Civil,3,AutoCAD; Structural Analysis; Concrete Design; Surveying; Revit; Soil Mechanics,3; 5; 4; 3; 5; 5,Project Management; Excel; GIS,2; 2; 1,Finite Element Analysis; Git,0; 2,11
1KG23CV020,Civil,4,Revit; AutoCAD; Project Management; Excel,5; 4; 5; 3,Concrete Design; Soil Mechanics,1; 1,PyTorch; Reaction Engineering,0; 0,8
1KG23CV021,Civil,1,Soil Mechanics; Surveying; Concrete Design; Revit; AutoCAD,3; 5; 4; 3; 3,Project Management; GIS; Structural Analysis,3; 3; 2,Statistics; React,0; 2,10
1KG23CV022,Civil,2,Structural Analysis; Concrete Design; Surveying; Soil Mechanics; AutoCAD; Revit,5; 5; 5; 5; 4; 4,Project Management; GIS; Excel,2; 1; 2,React; Web Development; Python; SolidWorks,2; 2; 2; 2,13
1KG23CV023,Civil,3,AutoCAD; Soil Mechanics; Surveying; Concrete Design; Revit,5; 5; 4; 3; 3,Structural Analysis; Project Management; GIS; Excel,1; 1; 3; 3,C++; Thermodynamics; Statistics,2; 0; 2,12
1KG23CV024,Civil,4,Soil Mechanics; Excel; Surveying,5; 3; 4,Structural Analysis; GIS; Revit,2; 1; 3,CAD; 3D Design; Git; Automotive Design,1; 1; 1; 2,10
1KG23CV025,Civil,1,Surveying; Soil Mechanics; Structural Analysis; Concrete Design; Revit; AutoCAD,3; 5; 4; 4; 3; 3,GIS; Excel,2; 1,Machine Learning; Java; 3D Design,1; 2; 2,11
1KG23CV026,Civil,2,Excel; Concrete Design; Soil Mechanics; Revit; Surveying; Structural Analysis; AutoCAD,4; 5; 4; 3; 5; 5; 5,GIS; Project Management,2; 1,Manufacturing; Git; Organic Chemistry; SQL,2; 1; 0; 0,13
1KG23CV027,Civil,3,Structural Analysis; Soil Mechanics; Surveying; AutoCAD,4; 4; 4; 3,Excel; Concrete Design,1; 2,Deep Learning; React; Python,0; 0; 2,9
1KG23CV028,Civil,4,AutoCAD; GIS; Soil Mechanics; Concrete Design; Revit,5; 5; 3; 3; 5,Surveying; Project Management; Structural Analysis; Excel,3; 2; 1; 3,PyTorch; Reaction Engineering; Databases; Web Development,1; 2; 0; 2,13
1KG23CV029,Civil,1,Surveying; Concrete Design; GIS; Soil Mechanics; Structural Analysis; AutoCAD,3; 5; 5; 5; 3; 5,Excel; Revit; Project Management,1; 3; 3,Separation Processes; NumPy,0; 0,11
1KG23CV030,Civil,2,Structural Analysis; Soil Mechanics; Excel; Surveying; Concrete Design; Revit; AutoCAD; Project Management,3; 3; 3; 5; 3; 4; 3; 3,GIS,1,PyTorch; Manufacturing; AI,2; 1; 0,12
1KG23CV031,Civil,3,AutoCAD; Soil Mechanics,4; 3,Project Management; Structural Analysis; Excel,1; 1; 1,CAD; Powertrain,0; 1,7
1KG23CV032,Civil,4,AutoCAD; Concrete Design; Soil Mechanics; Surveying; Structural Analysis; Revit,5; 3; 3; 4; 5; 5,Excel; Project Management; GIS,2; 3; 2,MATLAB; 3D Design; SolidWorks,0; 1; 2,12
1KG23CV033,Civil,1,GIS; Concrete Design; Structural Analysis; Excel; Revit,5; 3; 3; 3; 4,Project Management; Surveying; AutoCAD,2; 3; 1,Docker; NumPy; Engine Systems; Manufacturing,2; 2; 2; 0,12
1KG23CV034,Civil,2,AutoCAD; Excel; Soil Mechanics; Concrete Design; Structural Analysis,5; 4; 5; 4; 5,GIS; Project Management; Revit,2; 1; 2,TensorFlow; Separation Processes; Process Control; Node.js,2; 1; 0; 0,12
1KG23CV035,Civil,3,Structural Analysis; GIS; Soil Mechanics; Concrete Design,5; 3; 5; 4,Surveying; Project Management; Excel; Revit,2; 1; 3; 1,Data Visualization; Organic Chemistry,0; 1,10
1KG23CV036,Civil,4,Revit; AutoCAD; GIS,3; 3; 5,Project Management; Excel; Structural Analysis; Concrete Design,2; 1; 2; 2,Pandas; SolidWorks; Node.js; Soil Mechanics,2; 1; 0; 1,11
1KG23CV037,Civil,1,Revit; AutoCAD; Surveying; Soil Mechanics; Structural Analysis; Concrete Design,5; 5; 4; 3; 5; 3,Project Management; GIS; Excel,1; 2; 3,AI; Vehicle Dynamics; Statistics; PyTorch,1; 0; 2; 2,13
1KG23CV038,Civil,2,AutoCAD; Concrete Design; Surveying; Soil Mechanics; Structural Analysis,4; 3; 4; 3; 5,Revit; GIS,2; 1,Deep Learning; React,1; 1,9
1KG23CV039,Civil,3,Soil Mechanics; AutoCAD,3; 5,Project Management; Structural Analysis; Surveying; GIS,2; 1; 2; 1,CSS; Databases; AI,2; 2; 1,9
1KG23CV040,Civil,4,Concrete Design; Project Management; Soil Mechanics,4; 4; 5,Surveying; GIS,2; 1,Git; Pandas; Reaction Engineering,0; 0; 2,8
1KG23CV041,Civil,1,Structural Analysis; AutoCAD,4; 3,Soil Mechanics; Excel; Surveying; GIS,2; 2; 2; 2,Pandas; MATLAB; Thermodynamics; Separation Processes,1; 2; 1; 2,10
1KG23CV042,Civil,2,Project Management; AutoCAD; Structural Analysis; Soil Mechanics,5; 5; 4; 4,Concrete Design; Revit; GIS,1; 1; 1,Process Control; Thermodynamics,2; 1,9
1KG23CV043,Civil,3,Concrete Design; Soil Mechanics; Surveying; Revit; Structural Analysis; AutoCAD,5; 5; 5; 5; 3; 3,Project Management; Excel,2; 2,Deep Learning; Machine Learning,1; 0,10
1KG23CV044,Civil,4,Excel; Structural Analysis; Revit; Soil Mechanics; Concrete Design; Surveying,4; 3; 3; 5; 3; 5,GIS; AutoCAD,1; 2,Vehicle Dynamics; Organic Chemistry; Automotive Design; Reaction Engineering,0; 0; 1; 0,12
1KG23CV045,Civil,1,Surveying; Project Management; AutoCAD,3; 5; 5,GIS; Soil Mechanics; Excel,1; 2; 1,Databases; React,1; 2,8
1KG23CV046,Civil,2,AutoCAD; Revit; Soil Mechanics,3; 5; 3,Structural Analysis; GIS; Project Management,1; 2; 2,TensorFlow; React,2; 2,8
1KG23CV047,Civil,3,Soil Mechanics; Project Management; AutoCAD; Structural Analysis; Concrete Design; Surveying,5; 3; 3; 5; 5; 3,GIS; Revit; Excel,1; 1; 3,Process Control; 3D Design; Docker,0; 2; 0,12
1KG23CV048,Civil,4,Soil Mechanics; Structural Analysis; GIS; Concrete Design; AutoCAD; Revit,3; 4; 5; 4; 5; 5,Surveying; Project Management; Excel,2; 3; 2,Engine Systems; SolidWorks; Databases; Automotive Design,1; 0; 1; 0,13
1KG23CV049,Civil,1,Soil Mechanics; Revit; Structural Analysis; Concrete Design,4; 4; 5; 4,AutoCAD; GIS,2; 3,Vehicle Dynamics; Web Development; PyTorch; Statistics,1; 1; 1; 1,10
1KG23CV050,Civil,2,Concrete Design; Surveying; Structural Analysis; AutoCAD,4; 3; 4; 5,Soil Mechanics; GIS; Excel; Revit,1; 1; 1; 2,Powertrain; Deep Learning,1; 0,10
1KG23CV051,Civil,3,AutoCAD; Soil Mechanics; Surveying; Structural Analysis; Project Management,4; 4; 4; 4; 5,Revit; GIS; Concrete Design; Excel,1; 1; 3; 3,CSS; Databases,2; 2,11
1KG23CV052,Civil,4,Concrete Design; Surveying; Revit; Soil Mechanics; AutoCAD; Structural Analysis,5; 3; 4; 3; 5; 3,Project Management; Excel; GIS,3; 2; 2,PyTorch; Statistics,2; 1,11
1KG23CV053,Civil,1,Revit; Surveying; Soil Mechanics; Structural Analysis; Concrete Design; AutoCAD,4; 3; 5; 4; 3; 4,GIS; Project Management,3; 2,Manufacturing; Finite Element Analysis,2; 2,10
1KG23CV054,Civil,2,Structural Analysis; Concrete Design; AutoCAD,4; 4; 3,Project Management; Revit,1; 2,Excel; Data Visualization,0; 0,7
1KG23CV055,Civil,3,Revit; Concrete Design; Soil Mechanics; AutoCAD,4; 3; 3; 3,Excel; Structural Analysis; GIS,3; 3; 2,Deep Learning; CSS; Surveying; Scikit-learn,0; 0; 0; 1,11
1KG23CV056,Civil,4,Concrete Design; GIS; Structural Analysis,4; 4; 5,Soil Mechanics; Surveying,2; 3,Excel; HTML; Revit,2; 0; 1,8
1KG23CV057,Civil,1,Structural Analysis; Revit; Concrete Design,5; 5; 3,Soil Mechanics; GIS; Surveying,1; 2; 3,NumPy; Machine Learning; SolidWorks; Data Visualization,1; 2; 0; 1,10
1KG23CV058,Civil,2,AutoCAD; Excel; Structural Analysis,3; 4; 3,GIS; Concrete Design; Soil Mechanics; Revit,3; 3; 3; 3,Organic Chemistry; Vehicle Dynamics; Reaction Engineering,0; 1; 0,10
1KG23CV059,Civil,3,Surveying; Project Management; AutoCAD,4; 4; 3,Structural Analysis; Excel,3; 2,PyTorch; Databases,0; 0,7
1KG23CV060,Civil,4,AutoCAD; Structural Analysis,5; 5,Surveying; GIS; Revit,3; 2; 1,Thermodynamics; React; Deep Learning,2; 0; 2,8
1KG23CV061,Civil,1,AutoCAD; Surveying; Concrete Design; Soil Mechanics; Excel; Structural Analysis; Revit,3; 4; 3; 3; 3; 3; 4,GIS; Project Management,1; 3,Machine Learning; Databases; Finite Element Analysis; Manufacturing,2; 0; 0; 1,13
1KG23CV062,Civil,2,Concrete Design; Soil Mechanics; Revit; Structural Analysis; AutoCAD; Excel; GIS; Surveying,3; 4; 5; 4; 3; 4; 3; 4,Project Management,3,Organic Chemistry; Engine Systems; Machine Learning,0; 1; 1,12
1KG23CV063,Civil,3,Structural Analysis; Surveying; Concrete Design; Soil Mechanics; GIS; AutoCAD; Excel; Revit,3; 5; 5; 4; 4; 5; 5; 5,Project Management,1,SQL; Thermodynamics,0; 2,11
1KG23CV064,Civil,4,Surveying; Concrete Design; Revit; Structural Analysis; AutoCAD,3; 5; 3; 3; 5,Project Management; GIS; Soil Mechanics; Excel,2; 2; 3; 1,PyTorch; HTML; Separation Processes; Databases,2; 1; 1; 0,13
1KG23CV065,Civil,1,Structural Analysis; GIS; Revit; AutoCAD,5; 4; 3; 4,Surveying; Soil Mechanics; Excel; Concrete Design,1; 1; 3; 1,Process Control; MATLAB,0; 2,10
1KG23CV066,Civil,2,Surveying; AutoCAD; Revit; Structural Analysis; Concrete Design; Soil Mechanics,4; 4; 5; 4; 5; 3,GIS; Excel; Project Management,2; 2; 1,Python; Statistics; 3D Design,2; 2; 1,12
1KG23CV067,Civil,3,Soil Mechanics; AutoCAD; Concrete Design,5; 5; 3,Structural Analysis; Surveying; Project Management; Revit,2; 2; 2; 2,Powertrain; Pandas; Python,0; 1; 0,10
1KG23CV068,Civil,4,Revit; Soil Mechanics; Structural Analysis; Surveying; GIS; Excel; AutoCAD,4; 4; 4; 5; 5; 3; 4,Project Management; Concrete Design,3; 1,Statistics; Scikit-learn,2; 1,11
1KG23CV069,Civil,1,Concrete Design; GIS; AutoCAD; Revit; Surveying; Soil Mechanics; Project Management; Structural Analysis,4; 5; 4; 5; 3; 4; 3; 5,Excel,1,MATLAB; Reaction Engineering,1; 2,11
1KG23CV070,Civil,2,AutoCAD; Structural Analysis; Surveying; Concrete Design; Soil Mechanics; Revit,5; 4; 5; 3; 3; 5,GIS; Excel; Project Management,3; 1; 3,Thermodynamics; Node.js; Manufacturing,1; 0; 0,12
1KG23CV071,Civil,3,Soil Mechanics; GIS; Concrete Design,3; 3; 4,AutoCAD; Excel,1; 2,Python; Finite Element Analysis,1; 2,7
1KG23CV072,Civil,4,Revit; Project Management; Soil Mechanics; AutoCAD,5; 5; 3; 5,GIS; Excel,1; 2,C++; Structural Analysis,1; 0,8
1KG23CV073,Civil,1,Concrete Design; Structural Analysis; Surveying; Soil Mechanics; AutoCAD; Revit,5; 3; 4; 5; 5; 4,GIS; Project Management; Excel,2; 2; 3,Vehicle Dynamics; C++; Organic Chemistry,2; 1; 1,12
1KG23CV074,Civil,2,Surveying; Revit; Soil Mechanics; Structural Analysis; Excel; Project Management; Concrete Design; AutoCAD,4; 4; 5; 5; 5; 4; 5; 4,GIS,1,Vehicle Dynamics; Separation Processes; Organic Chemistry; Engine Systems,2; 1; 2; 1,13
1KG23CV075,Civil,3,Structural Analysis; Project Management; Concrete Design; Soil Mechanics,5; 5; 3; 5,Excel; Surveying; AutoCAD,1; 3; 3,CSS; Engine Systems; GIS; Data Visualization,0; 1; 2; 2,11
1KG23CV076,Civil,4,AutoCAD; Structural Analysis; Soil Mechanics; Revit; Concrete Design,5; 3; 3; 4; 4,Excel; GIS; Surveying,3; 2; 3,Process Control; Powertrain,2; 2,10
1KG23CV077,Civil,1,Surveying; Revit; AutoCAD; Soil Mechanics; Structural Analysis; Excel,4; 3; 4; 3; 3; 3,Concrete Design; GIS; Project Management,3; 2; 1,Reaction Engineering; Pandas; Node.js,1; 0; 2,12
1KG23CV078,Civil,2,Structural Analysis; AutoCAD; GIS; Soil Mechanics; Revit; Concrete Design; Surveying,4; 3; 4; 3; 4; 5; 4,Project Management; Excel,3; 3,Engine Systems; Vehicle Dynamics; Thermodynamics; 3D Design,2; 0; 1; 2,13
1KG23CV079,Civil,3,Soil Mechanics; Surveying; Project Management; Concrete Design; Revit; AutoCAD; Excel; Structural Analysis,5; 4; 4; 5; 3; 3; 5; 4,GIS,3,Java; Web Development; Machine Learning,2; 2; 1,12
1KG23CV080,Civil,4,AutoCAD; Revit; Concrete Design; Soil Mechanics,4; 5; 3; 5,Excel; Structural Analysis,2; 1,Deep Learning; Manufacturing,2; 2,8
1KG23CV081,Civil,1,Structural Analysis; Surveying,4; 4,Soil Mechanics; Excel; GIS; Revit,2; 2; 1; 1,CSS; Thermodynamics,2; 1,8
1KG23CV082,Civil,2,Revit; Concrete Design; Soil Mechanics,4; 4; 5,Surveying; Excel; GIS; AutoCAD,3; 2; 2; 3,PyTorch; TensorFlow; Node.js; Finite Element Analysis,0; 0; 0; 1,11
1KG23CV083,Civil,3,AutoCAD; Revit; Structural Analysis; Concrete Design; Soil Mechanics; Surveying,3; 4; 3; 5; 5; 3,Project Management; Excel; GIS,3; 3; 3,Machine Learning; Powertrain; CAD,2; 2; 0,12
1KG23CV084,Civil,4,Revit; Project Management; AutoCAD; GIS; Soil Mechanics,3; 3; 5; 3; 5,Excel; Surveying,2; 1,MATLAB; CSS,1; 1,9
1KG23CV085,Civil,1,Revit; GIS; Surveying; AutoCAD; Structural Analysis; Soil Mechanics; Concrete Design; Excel,5; 5; 5; 3; 5; 3; 5; 3,Project Management,1,Thermodynamics; SolidWorks,0; 2,11
1KG23CV086,Civil,2,Structural Analysis; Revit; AutoCAD; Soil Mechanics; Concrete Design; Surveying,4; 4; 3; 4; 5; 4,Excel; Project Management; GIS,3; 3; 2,Automotive Design; Organic Chemistry; Pandas; 3D Design,2; 0; 1; 0,13
1KG23CV087,Civil,3,Soil Mechanics; Surveying; Concrete Design; AutoCAD,5; 5; 4; 3,GIS; Project Management; Excel,2; 1; 1,Node.js; MATLAB; Revit,0; 1; 0,10
1KG23CV088,Civil,4,Revit; Structural Analysis; Excel,3; 5; 4,AutoCAD; Project Management; Soil Mechanics; Concrete Design,1; 1; 1; 2,Manufacturing; TensorFlow; 3D Design,2; 2; 1,10
1KG23CV089,Civil,1,Project Management; Revit; Structural Analysis; Surveying; Concrete Design; AutoCAD,5; 3; 5; 5; 4; 5,Soil Mechanics; GIS; Excel,2; 3; 2,Statistics; Powertrain; Databases,1; 2; 0,12
1KG23CV090,Civil,2,Structural Analysis; AutoCAD; Concrete Design; Surveying,5; 3; 3; 5,Soil Mechanics; Revit; GIS,2; 3; 3,Process Control; Python; Data Visualization; CSS,2; 2; 2; 2,11
1KG23CV091,Civil,3,GIS; AutoCAD; Concrete Design,5; 5; 5,Excel; Structural Analysis; Surveying,3; 2; 1,CSS; SolidWorks; Manufacturing; Machine Learning,1; 0; 2; 1,10
1KG23CV092,Civil,4,Concrete Design; Soil Mechanics,3; 4,Surveying; Revit; GIS; Project Management,2; 2; 2; 2,Node.js; CAD,1; 0,8
1KG23CV093,Civil,1,Excel; Project Management; Structural Analysis; Revit; Soil Mechanics; AutoCAD,4; 3; 3; 4; 5; 3,Surveying; GIS; Concrete Design,2; 2; 1,Powertrain; 3D Design,0; 1,11
1KG23CV094,Civil,2,Concrete Design; AutoCAD,3; 4,Project Management; Soil Mechanics; Structural Analysis,2; 1; 3,Finite Element Analysis; Web Development; React,0; 1; 2,8
1KG23CV095,Civil,3,AutoCAD; Revit; Structural Analysis; Soil Mechanics; Surveying,3; 3; 5; 3; 4,Project Management; Excel; GIS; Concrete Design,3; 2; 3; 3,Vehicle Dynamics; Web Development,2; 2,11
1KG23CV096,Civil,4,AutoCAD; Concrete Design; Structural Analysis; Revit; Surveying,3; 5; 4; 4; 5,Excel; Soil Mechanics; GIS; Project Management,2; 2; 1; 2,React; 3D Design,0; 0,11
1KG23CV097,Civil,1,Surveying; Project Management; Revit; AutoCAD; Structural Analysis,3; 5; 5; 5; 3,Soil Mechanics; Concrete Design,2; 1,Deep Learning; Process Control; Web Development,0; 2; 0,10
1KG23CV098,Civil,2,AutoCAD; Concrete Design,5; 5,Surveying; Project Management,2; 2,Statistics; Revit,2; 0,6
1KG23CV099,Civil,3,Excel; GIS; Revit; AutoCAD; Structural Analysis; Surveying,3; 3; 5; 5; 4; 3,Project Management; Concrete Design; Soil Mechanics,2; 1; 2,Organic Chemistry; TensorFlow; Thermodynamics,0; 0; 2,12
1KG23CV100,Civil,4,Soil Mechanics; Project Management; Structural Analysis,5; 4; 5,Revit; AutoCAD; Excel; GIS,3; 2; 1; 3,Machine Learning; MATLAB; SQL,2; 2; 2,10
1KG23AT001,Automobile,1,Vehicle Dynamics; Engine Systems,3; 3,SolidWorks; CAD; MATLAB; Automotive Design,2; 1; 3; 3,Concrete Design; GIS,0; 1,8
1KG23AT002,Automobile,2,MATLAB; Engine Systems; CAD; Powertrain; Automotive Design,5; 5; 3; 3; 5,Thermodynamics; Vehicle Dynamics; SolidWorks,1; 3; 1,Manufacturing; Reaction Engineering; Data Visualization; 3D Design,2; 0; 0; 1,12
